"","screenname","tweets"
"120","AlstonTaughtYou","RT @KHOU: Woman claims she sees @realDonaldTrump in her butter http://t.co/VLIx92WDPe #Election2016 http://t.co/Hlb0U1VeWz"
"121","kgbghosts","RT @realDonaldTrump: ""@iStandWithUSA: 62% said that @realDonaldTrump won #GOP Debate Vote your stand: https://t.co/l3XVkWXIEP #USA #Election2016"
"122","co_jit","RT @realDonaldTrump: ""@iStandWithUSA: 62% said that @realDonaldTrump won #GOP Debate Vote your stand: https://t.co/l3XVkWXIEP #USA #Election2016"
"123","hcarmyosefl","RT @realDonaldTrump: ""@iStandWithUSA: 62% said that @realDonaldTrump won #GOP Debate Vote your stand: https://t.co/l3XVkWXIEP #USA #Election2016"
"124","kocroofrepair","RT @realDonaldTrump: ""@iStandWithUSA: 62% said that @realDonaldTrump won #GOP Debate Vote your stand: https://t.co/l3XVkWXIEP #USA #Election2016"
"125","WolofVision","realDonaldTrump: ""iStandWithUSA: 62% said that realDonaldTrump won #GOP Debate Vote your stand: https://t.co/Flyk2c535F #USA #Election2016"
"126","darlsmith33","RT @realDonaldTrump: ""@iStandWithUSA: 62% said that @realDonaldTrump won #GOP Debate Vote your stand: https://t.co/l3XVkWXIEP #USA #Election2016"
"127","atlaswon","#MakeAmericaGreatAgain @realDonaldTrump #TeamTrump #Trump2016 #GOP #RedState #election2016 #Trump

#Conservatives https://t.co/rLc70cuYL6"
"128","Born2RunJosh","RT @realDonaldTrump: ""@iStandWithUSA: 62% said that @realDonaldTrump won #GOP Debate Vote your stand: https://t.co/l3XVkWXIEP #USA #Election2016"
"129","Alonso1127","RT @GarzaVillanueva: @RepBecerra:
@realDonaldTrump doesn't know how to control some of his words
https://t.co/TAEYfh0UsB
#Election2016 #VoteBlue2016
#USlatino"
"130","not4turning",".@realDonaldTrump will be #lastmanstanding The ERA of Big Politics is so over. #GOPDebate #foxdebate #Election2016 #RepublicanDebate"
"131","ouchinagirl","[<f0><U+009F><U+0091><U+0081>] @realDonaldTrump &amp; @JohnKasich <f0><U+009F><U+0091><U+008A> DUKE IT OUT <f0><U+009F><U+0091><U+008A> https://t.co/ACPFDU8MGp via @FoxNewsInsider #ELECTION2016 #GOPDebate #pjnet #tcot #OiP"
"132","keaneiscool","I hope Muslim-Americans take a stand by voting against bigoted GOP candidates like @realDonaldTrump. #DemDebate #Election2016"
"133","LAstorquia","RT @EdRogersDC: An excellent reality check from @NateSilver538 re: @realDonaldTrump: https://t.co/HKPVPYMuWx #Election2016"
"134","luvurdog","http:/www.donaldjtrump.com
@realDonaldTrump #Trump2016 #GOTV #Election2016 @GOP Primary https://t.co/VLHjXBcqzw"
"135","CherokeeNative3","RT @heidicheath: Make no mistake folks, what @realDonaldTrump proposed yesterday about Muslims is hateful, dangerous, and nazi-like.  #Election2016"
"136","DaTechGuyblog","DaTechGuy covers @realDonaldTrump in #worcester #tcot #p2 #hfwt #election2016 presser https://t.co/4qjSs4UPWe trump comments on #Obama"
"137","SAVEPHILA_PA","RT @DickMorrisTweet: Carson Fades After Paris Bombing; Trump, Cruz Surge https://t.co/6Jnc5ksXtI #Election2016 @realDonaldTrump @tedcruz @thehill @thehilltweets"
"138","RedWhiteYouPAC","Thanks @usnews! https://t.co/n4lx7dzmiM #voteforTrump #Election2016 @realDonaldTrump"
"139","jacksonrichman","They're UNQUALIFIED!! Especially @realDonaldTrump. People need to stop being sophomoric. #crymeariver #Election2016  https://t.co/XaqdFT391E"
"140","GarzaVillanueva","@GOP Wants @realDonaldTrump  To Disappear Bfore He Costs Them The #Election2016 https://t.co/GFXAvrcWfN #USlatino  #TNTweeters #ccot #P2"
"141","DebndanfarrDeb","RT @atlaswon: #MakeAmericaGreatAgain @realDonaldTrump #TeamTrump #Trump2016 #GOP #RedState #election2016 #Trump     Thank you! https://t.co/P2XQEayfwp"
"142","Brambleman","Oops! @realDonaldTrump Cites Video Debunking 9/11 Story As Proof He Was Right @TPM https://t.co/xTSrqyV9cu #GOP #Election2016"
"143","TheAtkinFiles",".@realDonaldTrump Supporters Disappointed He Only Wants To Ban One Religion https://t.co/lMXPckI1ep  #election2016 https://t.co/FSrXsX1zS0"
"144","KevinPiastra","#5wordtrumpslogans ""I WILL RUIN THIS COUNTRY"" @realDonaldTrump #lol #true #funny #sad #Election2016 #wow #omg #satire #parody #comedy #fear"
"145","gweekspeech","@realDonaldTrump divisive discourse &amp; violent imagery recalls demagogues of the past #Election2016 #Speech https://t.co/NPztrGIAaV"
"146","AlanPK",".@realDonaldTrump is not a joke. He is very dangerous! #Election2016"
"147","billeethekid","@THR cuz he doesn't phone hack? #Election2016 @realDonaldTrump"
"148","LisaSchif","@realDonaldTrump is my spirit animal. #Trump #Trump2016 #Election2016 #republicandebate #debate https://t.co/TZEK0eA0GI"
"149","taatzone","I wonder what if @realDonaldTrump loses the #Election2016..what would be his reaction?"
"150","AA_Millsap","Is the decline in native-born, high-school-educated employment helping @realDonaldTrump ? #labormarket #Election2016 https://t.co/Z0bSRoAXva"
"151","MnUTD23","just saw new @JebBush attack ad and it made me laf didnt realize he ws still running #lame #clown #Election2016 @realDonaldTrump the answer"
"152","BigGator5","#Trump2016: The @realDonaldTrump Fights Back https://t.co/4TCsgsDJfp @ASwoyer #tcot #p2 #florida #sayfie #yuge #winning #election2016"
"153","NewsNetNews","<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>#Election2016 OpEd: Disturbing News Reports Today Some @TheDemocrats Openly Admit Vote  @realDonaldTrump BC @HillaryClinton Can Beat Him<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>"
"154","Jessie_Gale","""Want a steak? Take a crappy magazine, but, wait...there's more!"" @realDonaldTrump responds to Romney w/ infomercial. #Drumpf #Election2016"
"155","NicholasBallasy","Big win for @realDonaldTrump in Michigan, according to @CNN's projection #Election2016"
"156","Jrzladyvjs","RT @AP_Politics: The Latest on #Election2016: @realDonaldTrump: Wins prove competence trumps advertising. https://t.co/qSabNlURZ6 https://t…"
"157","jennarraway","RT @outfortune: Ever wonder what would happen if @realDonaldTrump won the election?
https://t.co/GAtCmQorsX
#Election2016 #politik https://…"
"158","astradaemon","LOL @tedcruz is living in a fantasy world...and he'll probably lose to @realDonaldTrump there too #Election2016"
"159","GeoScarborough","RT @WPLGLocal10: School friend of @realDonaldTrump says candidate is 'no bigot' https://t.co/ZIId08gtkg #election2016 https://t.co/JrbumM3H…"
"160","WarrenC46rose","RT @rickbilyak: WE ARE NEW REPUBLICANS VOTE TRUMP

#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain https://t.c…"
"161","NelsyUmanzor","RT @GarzaVillanueva: #TNTweeters
Anti-.@realDonaldTrump spending in March 15 states
#DumpTrump
#Election2016 #UniteBlue 
https://t.co/FdviD…"
"162","vaskman","RT @ReutersTV: VERBATIM: Fiorina rips @realDonaldTrump, endorses @TedCruz #election2016 https://t.co/iWHpy8tdLE https://t.co/6NPNwyVyYe"
"163","eSeniorClub","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https://t.co/dbkr6GMPsx"
"164","wegetnews","RT ReutersTV: VERBATIM: Fiorina rips realDonaldTrump, endorses TedCruz #election2016 https://t.co/IXev59r8Xt https://t.co/rqmCVWqIJ0"
"165","eopiniontv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https://t.co/HrUoi41zp2"
"166","CalamityDC","@FrankLuntz @moxiemom @realDonaldTrump @tedcruz @marcorubio @JohnKasich #GOP #Election2016"
"167","BradBannon","RT @myfamiliaa: NBC/WSJ Poll: .@HillaryClinton would easily beat .@realDonaldTrump
#Election2016 #VoteBlue
https://t.co/Vkeahr9sDo https://…"
"168","mgtow4life","@realDonaldTrump You're practically President already! Or should I venture...Emperor? #Trump2016 #Election2016"
"169","TheCommCtr",".@RealDonaldTrump returns praise of .@RealBenCarson @Election2016 https://t.co/1Mswy6h4N3"
"170","PressHerald","#BenCarson endorses @realDonaldTrump for president #Election2016 #mepolitics https://t.co/UEtyjoEhDi https://t.co/CVlhXZt71G"
"171","CeeItTV","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https://t.co/HrTPVMXmhe"
"172","DodobegoneNews","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https://t.co/hgxATwvXa0"
"173","nwwong","Gotta say, pretty impressed with this @realDonaldTrump press on @FoxNews.
But maybe it's all relative...
#Election2016"
"174","PoetryLobby","@RealBenCarson endorsing @realDonaldTrump could be a good thing for trump<f0><U+009F><U+0091><U+008D>  #Election2016  #president #Trump https://t.co/xbKFvWDWWv"
"175","thequ4nt","Why @realDonaldTrump Is Feared by @BarackObama, the #Establishment, #MSM, @TheDemocrats, @CPAC https://t.co/RRWwEndJDz #Election2016"
"176","KHOU",".@realDonaldTrump says he hopes he hasn't encouraged violence at his rallies https://t.co/b1xzNZTnJx #Election2016"
"177","beryrajesh","@HillaryClinton #Election2016 #MakeAmericaGreatAgain @realDonaldTrump @SenSanders #Bernie2016 https://t.co/y5xTuuqQ1C"
"178","SportsGalNYC","Counting down mins until 2nite's @CNN #republicandebate! Bring on the crazy! Which @realDonaldTrump will show up? #CNNDebate #Election2016"
"179","LoverofAll777","RT @VictoryCharlie: BREAKING: Carson to endorse @realDonaldTrump #FLPrimary #gopdebate #floridaprimary #uspoli #election2016 #cnn #msnbc #f…"
"180","MindyMarques","So far I can't believe how civil it's been up here says @realDonaldTrump #GOPDebate #Election2016"
"181","JulzVolino","My niece made a potato head @realDonaldTrump. I think I like this version better. <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>  #Trump2016 #Election2016 https://t.co/WDzVEntuHI"
"182","abcnews",".@realDonaldTrump comes under fire at debate in Florida for saying Muslims hate the US #election2016 #GOPdebate https://t.co/p3FXnFZ8Tr"
