"","screenname","tweets"
"183","ToddTannerTen","@realDonaldTrump probably expected . It will make for tremendous press. #spinittowinit #election2016"
"184","AlexTJohansen","Obama's greatest legacy will be the making of president @realDonaldTrump 
#Election2016 
#Chicago 
#TrumpRally"
"185","USNOXcom","Donald Trump - Rally postponed amid growing Security Concerns #Election2016 #election #GOP @realDonaldTrump https://t.co/l1bGTlR6Ck"
"186","HaleyTessIsis","RT @MaiReports: Line wraps around #UICpavilion. Inside #media &amp; #crowd await @realDonaldTrump arrival @cbschicago #Election2016 https://t.c…"
"187","ashvegas2448","RT @MaiReports: Line wraps around #UICpavilion. Inside #media &amp; #crowd await @realDonaldTrump arrival @cbschicago #Election2016 https://t.c…"
"188","ballotpedia",".@realDonaldTrump has been a named party in more than 160 federal lawsuits. Read more here: https://t.co/1NrLWInCHp #Election2016"
"189","janetika1","RT @ARTISTstacy: @realDonaldTrump ,#GOP, #republican,#Election2016 https://t.co/cEVm95vlnL"
"190","BrianKirwin","@realDonaldTrump They weren't protesters.  They were terrorists. #Election2016"
"191","pauldibartolo","#Election2016 - How many centrist #Repubs have lost elections in past 25 yrs? Can anybody make case that @realDonaldTrump is #conservative"
"192","thmsintdesign","RT @abcnews: .@realDonaldTrump protected by Secret Service agents after incident at rally in Ohio #election2016 https://t.co/t07EjOxrdd"
"193","valerieseckler","#Naming @realDonaldTrump a #neofascist is one thing. #Reporting the violence, fear &amp; oppression threatened is another. #Election2016"
"194","rickbilyak","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https://t.co/MrMEyuTv2C"
"195","VeteransNewsOrg","Ted Cruz’s Goldman Sachs Problem
 #Election2016 #TrumpTrain #RealDonaldTrump 
 https://t.co/tadBODmD7O https://t.co/hC8O0coYyR"
"196","MaxxLeight","Ted Cruz’s Goldman Sachs Problem
 #Election2016 #TrumpTrain #RealDonaldTrump 
 https://t.co/g6gdfwt5aE https://t.co/bRSDI5ZHXy"
"197","MaxxLeight","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain  https://t.co/lIevE3sAhH"
"198","MaxxLeight","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain https://t.co/ri3Z46XSkw"
"199","tdh052883","@realDonaldTrump supporter gets hit in the face at a Bernie rally they will still blame Trump supporter - Watch #Election2016"
"200","YourBuddyEdgar","@realDonaldTrump It's funny because it's true. #Election2016 https://t.co/26zm2FKeRE"
"201","Austin_Brand","I like @realDonaldTrump  because it seems he is going to ruin Bush and Romneys' chances of winning big #Election2016 Hahaha!
#TrumpCard"
"202","cmCubFan","Thank you @SarahPalinUSA for confirming that you and @realDonaldTrump are nothing more than a joke. #Election2016 #SNL40 #PalinTrump2016"
"203","jfiorilliESQ","I would vote for a bowl of jello before @realDonaldTrump #Election2016"
"204","AndrewRTS","@realDonaldTrump A liberal coworker will have a surprise playing on his computer tomorrow! #Trump2016 #Election2016 http://t.co/9y3HvoXjf4"
"205","USAelection","RT @Walt_Handelsman: Send in The Donald! @GOP @realDonaldTrump #Election2016 #Louisiana #neworleans #politics #DonaldTrumpCampaignSlogans http://t.co/y4ka4Uxb65"
"206","VotoLatino_2016","@realDonaldTrump has already lost the Latino vote and, therefore, the White House. He’s fired. Via @jorgeramosnews #LatinoVote #Election2016"
"207","hugoc3318","RT @3paulas: #Hispanic leaders urge NBC to cut ties to @realDonaldTrump http://t.co/m5ArucyLGO #USlatino #Election2016 #GOPracists #Politics #VOTOLatino"
"208","DiChristine","RT @AlanTonelson: Say what you will re @realDonaldTrump, his entry in2 #election2016 means crucial #trade/#jobs/#manufacturing issues get much higher profile."
"209","WKDojo","RT @realDonaldTrump: ""@TheUSALifeStyle: @GOP #DonaldTrump #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/CdqPiUedqs"""
"210","MJKSMITH56","RT @realDonaldTrump: ""@TheUSALifeStyle: @GOP #DonaldTrump #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/CdqPiUedqs"""
"211","Rosemarrisa",".@realDonaldTrump #Election2016 you built a huge fire.Now I hope all candidates get busy. I know the Clintons r ur friends but it's time"
"212","USAelection","#Hillary2016  @HillaryClinton = 3,705k
#Trump2016 @realDonaldTrump = 3,028k
#Jeb2016 211K
#USAelection #Election2016
https://t.co/TWpxfqxklB"
"213","toriicantrell1","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"214","DuringDarkDays","RT @mcspocky: MT @HeresWhatTweets: #NBC Says ‘You’re Fired,’ Cuts Ties With @realDonaldTrump http://t.co/0rwlilEFYg
#election2016 http://t.co/zg87ShjOWn"
"215","USAelection","The more Big&amp;Rich hates @realDonaldTrump
The more Little&amp;Poor follows him 3100K

@HillaryClinton 3806K
#Election2016
#Trump2016
#Hillary2016"
"216","IbrahimAl_deneb","The White House isn't Trump towers @realDonaldTrump. #Election2016 is a mirage.  https://t.co/qPgEBXhUUE"
"217","dreamcatcher5","RT @mcspocky: MT @HeresWhatTweets: #NBC Says ‘You’re Fired,’ Cuts Ties With @realDonaldTrump http://t.co/0rwlilEFYg
#election2016 http://t.co/zg87ShjOWn"
"218","mrsjoananderson","RT @TheDailyEdge: POLL: @realDonaldTrump now trails @OMAROSA by 37 points in hypothetical matchup #Election2016"
"219","apurelistener","Well duh. Let @realDonaldTrump crash and burn. He is too damn crazy to be #potus #election2016  https://t.co/LaTfPiVzWu"
"220","licoriceswriter","RT @WestchesterMag: .@GovernorPataki<U+200B> is challenging @realDonaldTrump<U+200B> to debate immigration. http://t.co/EzEBpsTDxr #Election2016 http://t.co/PKz8AnjNus"
"221","shrave","Even @rupertmurdoch says @realDonaldTrump is wrong on #immigration. But who doesn't want to beat #Mexico.. Amiright, amiright! #Election2016"
"222","jp_healy","RT @CriticalReading: 400 years too late @realDonaldTrump #Election2016 http://t.co/J8WBx5KBuK"
"223","HedleycnsI","RT @ChakerKhazaal: Funny that my article on @realDonaldTrump has moved to @HuffingtonPost's Entertainment section <f0><U+009F><U+0091><U+008D> http://t.co/aGQomGQNbN #Election2016 #Trump"
"224","PromoProduxisno","RT @ChakerKhazaal: Funny that my article on @realDonaldTrump has moved to @HuffingtonPost's Entertainment section <f0><U+009F><U+0091><U+008D> http://t.co/aGQomGQNbN #Election2016 #Trump"
"225","Peoples_Pundit","Fact-Checking @realDonaldTrump: He's Right, ""Latino's Love Trump"" in Nevada http://t.co/nOBGoPud4U #Election2016 via @PPDNews"
"226","ChakerKhazaal","What happened to respect @realDonaldTrump? http://t.co/aGQomGQNbN via @HuffPostPol on #Election2016 #Hillary2016 #Trump2016"
"227","laser_beam","since Trump is front runner, carpe diem &amp; change system 2-party names to Democrats and Assholes! @realDonaldTrump @SenSanders #Election2016"
"228","NeilWMcCabe","RT @wbznewsradio: Still waiting on the @realDonaldTrump rally. He's in Bluffton, #SC. We'll livetweet when he starts. #Election2016 #GOP #Trump"
"229","ImmigranNacion","@realDonaldTrump #Latinos Ready to go? #Election2016  #RepublicanPiñatas big SALE!

#gopclowncar #TNTVote #AINF http://t.co/myckWQ90TV"
"230","caseymcdermott","RT @lizfrantz: Lots to see at yesterday's @realDonaldTrump rally! http://t.co/HnCmEDXzvP #FITN #NHpolitics #Election2016 #Trump2016 http://t.co/5ceHQBvSSo"
"231","kingman101921","RT @RichardOHornos: <U+25B6><U+FE0F>.@realDonaldTrump in 60 seconds https://t.co/4KQhpnsyFN by @MasPOLITICA1 #DonaldTrump #DumpTrump #GOPClownCar #Election2016 <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>#USlatino"
"232","rc_kris","RT @DocThompsonShow: Lots to discuss tomorrow on #TMB including the feud between @realDonaldTrump &amp; @RandPaul 
http://t.co/MlSI2zoz0t

#E2016
#Election2016"
"233","IntlCBC","#Marijuana in the 2016 Election: http://t.co/xPTHUyHZwt @MJPolitico @SenSanders @HillaryClinton @RandPaul @realDonaldTrump #Election2016"
"234","Naseem_a1","RT @KHOU: Woman claims she sees @realDonaldTrump in her butter http://t.co/VLIx92WDPe #Election2016 http://t.co/Hlb0U1VeWz"
"235","matthewbrems","I support @megynkelly. #MegynKelly asked tough Qs of all at #gopdebate. @realDonaldTrump lashed out like a child. #Election2016"
"236","katlivezey","RT @realDonaldTrump: ""@ladycatherinecd @realDonaldTrump he has more smarts than any one of the politicians - he TRUMPED again !  #Trump #tcot #Election2016"""
"237","JRMcClaren","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"238","krewcheef","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"239","HouseCracka","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"240","Blubaycrab","I don't care if #DonaldTrump IS the greatest thing for America. I am sick of him already. #Overexposure @realDonaldTrump #gop #Election2016"
"241","NaugleKevin","RT @JudgeJeanine: After my interview with @realDonaldTrump. Am I standing with the next president of the United States? #Election2016 http://t.co/5NJX2JzLCj"
"242","atlaswon","#TrumpForPresident #Trump2016 @realDonaldTrump #RedState #MakeAmericaGreatAgain #election2016 #elections https://t.co/6ipj5q4HFX"
"243","grandrapidsday","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"244","sohodailynews","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"245","topekajournal","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"246","fortwayneinbuzz","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"247","polsnewsnetwork","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"248","JasonEscareno","RT @BNNDailyPoll: Is @realDonaldTrump v. @HillaryClinton inevitable? #Election2016"
"249","DeneenLauren","RT @USATODAY: Meet the woman who's spending millions to stop @realDonaldTrump. #Election2016 https://t.co/e4NhNyv7Bd https://t.co/MMwhv21dut"
"250","ILLfromMN","RT @MattDay87: I will never vote for @realDonaldTrump in any election in any race on any ticket.  

#Election2016 #ChooseCruz #MarcoRubio #…"
"251","kyleradams","RT @dgazette: House Majority Leader: More than 50% chance @realDonaldTrump is GOP nominee https://t.co/Ztbl9mzZlV #Election2016 https://t.c…"
"252","C4Constitution","RT @TeresaEdelglass: <f0><U+009F><U+0092><U+008B><f0><U+009F><U+0092><U+0084><f0><U+009F><U+008C><U+00B9>2<U+FE0F><U+20E3>2<U+FE0F><U+20E3> WOMEN<f0><U+009F><U+008C><U+00B9><f0><U+009F><U+0092><U+0084><f0><U+009F><U+0092><U+008B>

<U+270D><f0><U+009F><U+008F><U+00BB><U+270D><f0><U+009F><U+008F><U+00BE>MAKE A CASE FOR<U+270D><f0><U+009F><U+008F><U+00BD><U+270D><f0><U+009F><U+008F><U+00BC>

•••••@realDonaldTrump•••••

#VoteTrump<f0><U+009F><U+0092><U+00A5> #Election2016<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> https://t.co/KFt6…"
"253","JerradRobertson","RT @TexasTribune: UT/TT Poll: @TedCruz leads @realDonaldTrump in Texas; @marcorubio lags behind. https://t.co/hF4ulmryjC #Election2016"
"254","AmberForAmerica","RT @TexasTribune: UT/TT Poll: @TedCruz leads @realDonaldTrump in Texas; @marcorubio lags behind. https://t.co/hF4ulmryjC #Election2016"
"255","ShelbyRacer","RT @PracticallyGOP: Is #Trump a #democrat in #GOP clothing? https://t.co/Apg25KLGFG #republicans #election2016 @realdonaldtrump #nolabels @…"
"256","tilklo","@realDonaldTrump after his #Nevada win: ""I love the poorly educated."" ...I bet every politician does, yeah. #Election2016 #trump #nocomment"
"257","MrAlexLC",".@marcorubio can beat @realDonaldTrump this year...but he'll have to become a Democrat first #Election2016"
"258","wmalnews","Nevada hands @realDonaldTrump a HUGE caucus victory https://t.co/CEUZLnLxMG #NVcaucus #election2016 https://t.co/pMcT3Lg2SU"
"259","andy_rooney","It's time to bring up the toughest question of #Election2016. Are there any @realDonaldTrump supporters that are not @jeffdunham fans?"
"260","ohanamp73","RT @TheBigVote16: It's to time #ShowMeTheMoney! @realDonaldTrump America wants to see your tax returns. #Election2016 #GOP https://t.co/MnZ…"
"261","johnnyreb1864","RT @screenwriter: President Trump's most trusted executive.

<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>@realDonaldTrump @IvankaTrump<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>
#ImWithHer #Election2016 #WhichHillary https…"
"262","ColdLordQuietus","@realDonaldTrump and @BernieSanders should just run together on the National Socialist ticket #Election2016"
"263","karenblevins89","RT @liveballot: Will #Election2016 be between @realDonaldTrump &amp; @HillaryClinton? Vote for your candidate at https://t.co/aFUDCTISP3 https:…"
"264","MarkNel1026","Again @realDonaldTrump 'Slander is the revenge of a coward, and dissimulation of his defense' #RepublicanDebate #Election2016"
"265","Espino5540","RT @liveballot: Will #Election2016 be between @realDonaldTrump &amp; @HillaryClinton? Vote for your candidate at https://t.co/aFUDCTISP3 https:…"
"266","BigGator5","#Trump2016: Gov. @ChrisChristie's @realDonaldTrump Endorsement https://t.co/2dG8fLu5t8 @FOX10Phoenix #tcot #p2 #yuge #winning #election2016"
"267","StickyRN","I can see a @realDonaldTrump and @ChrisChristie ticket for #election2016 #trumptrain #TrumpChristie2016"
"268","TwitMediaCritic","RT @RickCanton: BREAKING: @realDonaldTrump suspends #Election2016 campaign, blames the SCHLONGING he received from @marcorubio.

#SueMeTrum…"
"269","thebleedingear","Researching all POTUS Candidates. @GOP websites are @RealBenCarson &gt; @realDonaldTrump &gt; @JohnKasich &gt; @marcorubio &gt; @tedcruz #Election2016"
"270","Heidi_Walsh15","RT @EX_TX_QB: Who is @realDonaldTrump? Here's your answer.
#TCOT #Election2016 #DonaldTrump #TexasForTrump https://t.co/MW8p3lPZNT"
"271","BigGator5","#Trump2016: About #AaronCarter's #YUGE @realDonaldTrump Endorsement https://t.co/pzVbDFReTr @kipjones #tcot #p2 #winning #election2016"
"272","vipalmonga","Two words for GOPers surprised about the rise of @realDonaldTrump : Sarah Palin @SarahPalinUSA #SuperTuesday #Election2016"
"273","JPDBailey27","If @GOP considers @realDonaldTrump such a problem, then why don't they make use of their resources and combat his ""success"" #Election2016"
"274","noelfalkhall","It's so funny it's not funny. Brilliant 20 min demolition.... #MakeDonaldDrumpfAgain @realDonaldTrump #Election2016  https://t.co/Kmu8LZTuM8"
"275","LeftePropaganda","As communists &amp; believers of social welfare, we PROUDLY endorse @realDonaldTrump, hoping he'll continue his good work! #FAIL #Election2016"
"276","flgazr1","@CNN @realDonaldTrump Believes the Klan is a noble Scottish dynasty #gop
 #Election2016"
"277","sage_road","RT @Condor_Law: Great Americans pull together! @jeffsessions endorsed @realDonaldTrump! https://t.co/sVzoKvumlp #Election2016"
"278","QwinOmaru","RT @Tchasse23: Who are you voting for? 

Like for @realDonaldTrump

Retweet for @KevinHart4real

#Election2016"
"279","DMurray711","@realDonaldTrump But I thought said America wasn't great and you were going to make it great? Hmm.. #Election2016 #Fraud"
"280","milkmanslick","RT @PJMedia_com: Between @realDonaldTrump and @MittRomney, who would you pick to take on @HillaryClinton?

#Election2016 #CPAC2016"
"281","PaulaFeese","RT @PJMedia_com: Between @realDonaldTrump and @MittRomney, who would you pick to take on @HillaryClinton?

#Election2016 #CPAC2016"
"282","Amberis4LSU","RT @kansasdotcom: #KSCaucus: @realDonaldTrump  supporters arrive early for Wichita rally https://t.co/LveeNwhmvw #Election2016 https://t.co…"
"283","Sfeptonstars","RT @nwiakr: RETWEET if you are NOT voting for @realDonaldTrump. #Election2016"
"284","ChasingRae1187","RT @ReutersTV: Reporter choked at @realDonaldTrump rally #election2016 https://t.co/58rfLZ9I33"
"285","0Nonsense","RT @Rasmussen_Poll: #GOP Voters More Convinced Than Ever That @realDonaldTrump Is Their Guy... https://t.co/d4KUdSs5ye #Election2016"
"286","lkafle","Retweeted Michael Smerconish (@smerconish):

figured it out - @realDonaldTrump is the #MH370 of #Election2016 -... https://t.co/AZTLveknnA"
"287","lisalacy","The @realDonaldTrump brand is disruptive and has redefined the election experience: https://t.co/xlOiNG68Sp. #SuperTuesday #Election2016"
