timestamp,Screenname,text
2017-03-13 20:00:31 +0000,MerolaTile,Traditional coastal design gets a modern face lift in this gorgeous NC home! https://t.co/cxbsNpCPNg #interiordesign #houzz https://t.co/Mm3shldEpr
2017-03-13 17:05:41 +0000,MerolaTile,"RT @Construct_Ed: ""The best way to get started is to quit talking and start doing."" - Walt #Disney - Get your start @ https://t.co/mrZpIEznâ€_"
2017-03-11 17:01:38 +0000,MerolaTile,Think professional means boring? Think again! This fun house belongs to two inspiring leaders--check it out! https://t.co/u7ur3W81U9 #houzz https://t.co/njKt0Vtnvf
2017-03-10 19:11:14 +0000,MerolaTile,Happy Friday to our newest followers! @TUKIDB  @desinstop  @EDMN_DealFinder  @GREENDESIGNSF  @Da_Mart_Export  @jeffbmatthews  @itstripsi
2017-03-10 16:01:31 +0000,MerolaTile,"What a simple, fresh escape... https://t.co/dBWwQuMFtO #houzz #interiordesign https://t.co/ZdWlrtWYpY"
2017-03-09 23:01:19 +0000,MerolaTile,Looking forward to summer? Check out this serene lakehouse in Wisconsin--what a treat! https://t.co/QoPAYxCJnI #houzz #interiordesign https://t.co/8tISFgFj6M
2017-03-09 15:01:31 +0000,MerolaTile,"Check out this ecclectic ""Undone"" renovation of a French Quarters home https://t.co/YxOg7hs17F #houzz #interiordesign https://t.co/CRxMskQYNR"
2017-03-08 18:01:34 +0000,MerolaTile,Inspiring and intimate tour of an artist's creative space! https://t.co/P8AjbXBz5W #interiordesign #houzz https://t.co/IRSCJoil7n
2017-03-08 14:50:30 +0000,MerolaTile,RT @BallinCribs: Beautiful home in Southern France  https://t.co/s608agp17Y
2017-03-08 14:49:12 +0000,MerolaTile,RT @archanddecor: Please RT! #decoration #interiordesign A lovely Swedish turn-of-the-century apartment https://t.co/cJ0G2pBIAt https://t.câ€_
2017-03-08 14:48:33 +0000,MerolaTile,@Bentleydriveway These are gorgeous!
2017-03-07 19:01:05 +0000,MerolaTile,The design is in the details in this low-key Beverly Hills house! https://t.co/5pL5yNSfoX #houzz #interiors #interiordesign https://t.co/SW7cDbdS41
2017-03-07 15:01:12 +0000,MerolaTile,Peek inside this fun NOLA home-- a change from the New England cottages we usually share! https://t.co/nGyTvPCa9v #houzz https://t.co/r0q7E5FuX0
2017-03-06 21:42:28 +0000,MerolaTile,RT @totalbuilding1: Thanks to our new followers @PaveUK @ShockaSports @MerolaTileNY @BuildingDesign_ @spendexltd
2017-03-06 15:52:46 +0000,MerolaTile,"RT @MerolaTileNY: You have to check out this fun, earthy fixer upper!! https://t.co/ZZ9ajqUGdf #interiors #interiordesign https://t.co/wKggâ€_"
2017-03-06 15:51:02 +0000,MerolaTile,Shoutout to some of our newest followers! @rkrajpurohith @UnSquareStudio @Astracast @MacPlasteringT @KnaufTechnical @HelvexMx
2017-03-06 15:49:42 +0000,MerolaTile,Thanks for the follow! @4rchitectural @DeluxeDry @DIYSUPERMERCHNT @versatiltyData @CustomFloorsBIR @matrav32 @SignatureApplia @Suretile
2017-03-06 15:47:51 +0000,MerolaTile,@luxurykitchensk @totalbuilding1 @JoCo_Interiors @JDTraining_ @euro_line @enviroceramic @Italmobilisrl @tophotelevents Thanks for following!
2017-03-06 15:34:34 +0000,MerolaTile,RT @JustTopsMKLtd: @MerolaTileNY thanks for the follow ! @JustTopsMKLtd
2017-03-03 15:01:46 +0000,MerolaTile,Love this comfy blue Manhattan apartment! https://t.co/Y1EzNo5OG5 #hgtv #interiors  #interiordesign https://t.co/3ilkscNIRN
2017-03-02 23:01:06 +0000,MerolaTile,"You have to check out this fun, earthy fixer upper!! https://t.co/ZZ9ajqUGdf #interiors #interiordesign https://t.co/wKgghMhyk4"
2017-03-02 17:01:44 +0000,MerolaTile,Plan your dream patio with our new Gubbio pavers line! #homeandgarden #interiordesign https://t.co/vyu7GLIvVU
2017-03-02 15:15:31 +0000,MerolaTile,"The airy, soothing colors in this Texan home are reminiscent of a coastal town in New England https://t.co/rYWfOzDktF #interiordesign https://t.co/EmIfFF4EkJ"
2017-03-01 20:01:32 +0000,MerolaTile,"The third color to the new porcelain plank line, Rainforest! #interiors #interiordesign https://t.co/dwTpYIjftV"
2017-03-01 20:00:09 +0000,MerolaTile,"RT @ActionComplete: When the winds of change blow, some people build walls, others...
~Chinese proverb
#quotes #inspiration #success https:â€_"
2017-03-01 19:59:08 +0000,MerolaTile,Nature is a big source of inspiration for us--we are constantly looking to natural stone and wood as inspiration for design! #kbtribechat
2017-03-01 19:39:33 +0000,MerolaTile,"RT @REVASHELF: A1: Tiles make or break a room design! We see colored tiles with fun shapes emerging in 2017, like this dark design! #kbtribâ€_"
2017-03-01 19:39:07 +0000,MerolaTile,"Q5.) Pinterest, Apartment Therapy, and Instagram are always super inspiring! #kbtribechat"
